                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4192,                 1.4931,                 1.0943,                0.36354,                0.18353,                0.21081,                 0.1345,                    nan,                    nan,                    nan,             0.00036335,             0.00036335,             0.00036335
                     37,                 1.4052,                 1.4127,                  1.089,                0.32452,                0.18902,                0.21251,                0.13387,                    nan,                    nan,                    nan,             0.00035784,             0.00035784,             0.00035784
                     38,                 1.4255,                 1.4613,                 1.0848,                0.50958,                0.16427,                0.21383,                0.13265,                    nan,                    nan,                    nan,             0.00035234,             0.00035234,             0.00035234
                     39,                  1.402,                 1.4601,                 1.0815,                0.52807,                0.16345,                0.18702,                0.11524,                    nan,                    nan,                    nan,             0.00034683,             0.00034683,             0.00034683
                     40,                 1.4005,                 1.4136,                 1.0914,                0.48095,                0.16995,                0.19216,                0.11722,                    nan,                    nan,                    nan,             0.00034133,             0.00034133,             0.00034133
                     41,                 1.3727,                 1.3888,                 1.0736,                 0.4819,                0.16669,                0.18696,                0.11309,                    nan,                    nan,                    nan,             0.00033582,             0.00033582,             0.00033582
                     42,                 1.3578,                 1.3729,                 1.0622,                0.36232,                0.16653,                0.18471,                0.11411,                    nan,                    nan,                    nan,             0.00033032,             0.00033032,             0.00033032
                     43,                 1.3766,                  1.367,                 1.0677,                0.34609,                0.16766,                0.18909,                0.11877,                    nan,                    nan,                    nan,             0.00032482,             0.00032482,             0.00032482
                     44,                 1.3549,                 1.3714,                 1.0627,                0.34704,                 0.1771,                0.19177,                0.12001,                    nan,                    nan,                    nan,             0.00031931,             0.00031931,             0.00031931
                     45,                 1.3581,                 1.3583,                 1.0478,                0.44216,                0.17732,                0.19221,                 0.1217,                    nan,                    nan,                    nan,             0.00031381,             0.00031381,             0.00031381
                     46,                 1.3811,                 1.3281,                 1.0582,                0.47324,                0.17703,                0.19461,                0.11963,                    nan,                    nan,                    nan,              0.0003083,              0.0003083,              0.0003083
                     47,                  1.349,                 1.3638,                 1.0661,                0.49911,                0.17665,                0.18467,                 0.1132,                    nan,                    nan,                    nan,              0.0003028,              0.0003028,              0.0003028
                     48,                 1.3442,                  1.307,                 1.0599,                0.40739,                0.17967,                0.19466,                0.12192,                    nan,                    nan,                    nan,             0.00029729,             0.00029729,             0.00029729
                     49,                 1.3599,                 1.3385,                 1.0485,                0.38429,                 0.1851,                0.21506,                0.13571,                    nan,                    nan,                    nan,             0.00029179,             0.00029179,             0.00029179
                     50,                 1.3558,                 1.3293,                 1.0708,                0.38171,                0.20649,                0.21773,                0.13736,                    nan,                    nan,                    nan,             0.00028628,             0.00028628,             0.00028628
                     51,                 1.3355,                 1.3153,                 1.0539,                0.36716,                0.20345,                0.19958,                0.12342,                    nan,                    nan,                    nan,             0.00028078,             0.00028078,             0.00028078
                     52,                 1.3468,                 1.3002,                 1.0577,                 0.4755,                0.20642,                0.19568,                0.11923,                    nan,                    nan,                    nan,             0.00027528,             0.00027528,             0.00027528
                     53,                 1.3433,                 1.3203,                 1.0456,                0.48259,                 0.2114,                0.19999,                0.12066,                    nan,                    nan,                    nan,             0.00026977,             0.00026977,             0.00026977
                     54,                  1.359,                 1.2858,                 1.0631,                0.37184,                0.20443,                0.19166,                0.11674,                    nan,                    nan,                    nan,             0.00026427,             0.00026427,             0.00026427
                     55,                 1.3278,                 1.2874,                 1.0511,                0.41069,                0.20066,                0.19457,                0.12191,                    nan,                    nan,                    nan,             0.00025876,             0.00025876,             0.00025876
                     56,                 1.3524,                 1.3031,                 1.0457,                 0.5026,                0.21275,                0.20143,                0.12589,                    nan,                    nan,                    nan,             0.00025326,             0.00025326,             0.00025326
                     57,                 1.3506,                 1.2697,                 1.0527,                0.48062,                0.21256,                0.19234,                0.12118,                    nan,                    nan,                    nan,             0.00024775,             0.00024775,             0.00024775
                     58,                  1.273,                 1.2409,                 1.0299,                0.50009,                 0.1968,                0.20262,                0.12498,                    nan,                    nan,                    nan,             0.00024225,             0.00024225,             0.00024225
                     59,                 1.2882,                 1.2577,                 1.0503,                0.52045,                0.20128,                0.20304,                0.12339,                    nan,                    nan,                    nan,             0.00023674,             0.00023674,             0.00023674
                     60,                 1.2829,                 1.2318,                 1.0622,                0.51176,                0.19727,                0.19926,                0.12054,                    nan,                    nan,                    nan,             0.00023124,             0.00023124,             0.00023124
                     61,                 1.3332,                  1.259,                 1.0458,                0.38522,                0.20353,                0.20043,                0.12223,                    nan,                    nan,                    nan,             0.00022574,             0.00022574,             0.00022574
                     62,                 1.3152,                 1.2336,                 1.0471,                0.49062,                0.20644,                0.22803,                 0.1417,                    nan,                    nan,                    nan,             0.00022023,             0.00022023,             0.00022023
                     63,                  1.276,                 1.2236,                 1.0386,                0.51909,                0.21415,                0.20853,                0.12851,                    nan,                    nan,                    nan,             0.00021473,             0.00021473,             0.00021473
                     64,                 1.3112,                 1.2317,                 1.0517,                0.53252,                0.20557,                0.20996,                0.12973,                    nan,                    nan,                    nan,             0.00020922,             0.00020922,             0.00020922
                     65,                 1.3096,                 1.1793,                 1.0261,                0.52654,                0.21131,                0.21441,                0.13202,                    nan,                    nan,                    nan,             0.00020372,             0.00020372,             0.00020372
                     66,                 1.3152,                 1.2078,                 1.0416,                0.53414,                 0.2186,                0.21404,                0.13236,                    nan,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     67,                  1.283,                 1.2012,                  1.026,                0.52618,                0.21296,                  0.211,                0.13045,                    nan,                    nan,                    nan,             0.00019271,             0.00019271,             0.00019271
                     68,                 1.3242,                 1.1828,                 1.0322,                0.56109,                0.21479,                0.21701,                0.13399,                    nan,                    nan,                    nan,             0.00018721,             0.00018721,             0.00018721
                     69,                 1.2905,                 1.2098,                  1.046,                0.59136,                0.21438,                0.21559,                0.13444,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     70,                 1.2935,                 1.1918,                 1.0195,                0.58745,                0.19859,                 0.2097,                 0.1316,                    nan,                    nan,                    nan,              0.0001762,              0.0001762,              0.0001762
                     71,                 1.2919,                 1.1633,                 1.0277,                0.57149,                0.20399,                0.20809,                0.13241,                    nan,                    nan,                    nan,             0.00017069,             0.00017069,             0.00017069
                     72,                  1.295,                 1.1986,                 1.0253,                0.57949,                 0.2146,                0.20984,                0.13271,                    nan,                    nan,                    nan,             0.00016519,             0.00016519,             0.00016519
                     73,                 1.2458,                 1.1652,                  1.009,                0.56014,                0.21037,                0.20862,                0.13037,                    nan,                    nan,                    nan,             0.00015968,             0.00015968,             0.00015968
                     74,                 1.2775,                 1.1549,                  1.019,                0.55714,                0.19653,                0.21352,                0.13344,                    nan,                    nan,                    nan,             0.00015418,             0.00015418,             0.00015418
                     75,                  1.243,                 1.1673,                 1.0269,                0.54701,                 0.2025,                 0.2141,                 0.1336,                    nan,                    nan,                    nan,             0.00014867,             0.00014867,             0.00014867
                     76,                 1.3103,                 1.1826,                 1.0323,                  0.541,                0.19359,                0.21379,                0.13235,                    nan,                    nan,                    nan,             0.00014317,             0.00014317,             0.00014317
                     77,                 1.2763,                 1.1812,                 1.0261,                 0.5217,                0.20619,                0.21122,                0.12973,                    nan,                    nan,                    nan,             0.00013767,             0.00013767,             0.00013767
                     78,                 1.2482,                 1.1767,                 1.0315,                0.52967,                0.20585,                0.23159,                0.14624,                    nan,                    nan,                    nan,             0.00013216,             0.00013216,             0.00013216
